ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu,edu_cat,imaginary_screensize,eyesight_z
9380,post,AR,50,female,bachelors degree,18,162,144,61.94796651666667,94,white,93.21971245113882,18.08703812284145,yes,16,college,1323,-0.475813768541488
44755,post,AR,36,female,bachelors degree,5,107,107,19.86305965,95.91666666666667,white,83.91638071555967,-13.781414913348442,yes,16,college,1310,-1.6463569379819547
19740,post,AR,42,male,unspecified,17,505,483,99.52708416666667,93.875,unspecified,111.30675057398027,-2.9181959098016677,unspecified,NA,unspecified,1312,0.2221735137920623
31810,post,AR,23,female,bachelors degree,11,267,253,55.269108,70.375,white,90.24743945120954,0,yes,16,college,1338,-0.4790255905193079
12027,post,AR,51,female,some high school,5,196,193,39.9973693,77.04166666666667,white,77.24992505278499,-7.1149592505737616,yes,8,hs,1344,-1.3016983556517274
39742,post,AR,31,female,bachelors degree,12,267,245,62.46309338333334,70.125,white,105.31617807887685,-12.096465627738027,yes,16,college,1296,-0.31839897288672275
17338,post,AR,38,male,associates or some college,16,314,291,74.33656126666666,70.04166666666667,white,102.39649297175713,2.9196851071197187,yes,12,college,1327,-0.12068931362841646
63535,post,AR,58,male,phd,19,284,284,52.88551625,89.29166666666667,white,105.31617807887685,9.060645457730942,yes,20,postcollege,1302,0.5017656826112643
18652,post,AR,56,female,masters degree or equivalent,17,402,318,105.62656536666667,70.83333333333333,white,93.21971245113882,15.168842213039781,yes,16,postcollege,1320,1.5318178990604698
55933,post,AR,26,female,bachelors degree,16,447,398,110.12450163333334,74.875,native_american,120.33554738323792,-15.019369304361078,yes,16,college,1313,0.09468283891794758
25944,post,AR,22,unspecified,unspecified,15,300,280,84.55149563333333,172.83333333333334,asian,90.24743945120954,12.149053520547582,no,15,unspecified,1320,-0.2527105557228335
29315,post,AR,26,male,associates or some college,8,269,144,51.07827281666667,90.04166666666667,asian,87.04122872468464,-6.5095528600086965,no,16,college,1307,-1.415792681043626
25139,post,AR,52,male,bachelors degree,22,1282,614,719.21305055,70.25,white,126.13779899619367,-2.966525465839851,yes,17,college,1307,0.30182298586598466
38423,post,AR,57,male,associates or some college,15,389,215,88.07921258333333,69.41666666666667,white,93.21971245113882,9.176780520618308,yes,14,college,1321,0.791453239907053
